threshold,rule,false_positives,false_negatives,mismatches,mismatch_pct,accuracy_pct
5.6,predict 1 if fraud_score >= threshold,685508,0,685508,68.5508,31.4492
5.7,predict 1 if fraud_score >= threshold,684600,0,684600,68.46,31.54
5.8,predict 1 if fraud_score >= threshold,683690,0,683690,68.369,31.631
5.9,predict 1 if fraud_score >= threshold,682748,0,682748,68.2748,31.7252
6.0,predict 1 if fraud_score >= threshold,681865,0,681865,68.1865,31.8135
6.1,predict 1 if fraud_score >= threshold,680871,0,680871,68.0871,31.9129
6.2,predict 1 if fraud_score >= threshold,679878,0,679878,67.9878,32.0122
6.3,predict 1 if fraud_score >= threshold,678950,0,678950,67.895,32.105
6.4,predict 1 if fraud_score >= threshold,677975,0,677975,67.7975,32.2025
6.5,predict 1 if fraud_score >= threshold,677033,0,677033,67.7033,32.2967
6.6,predict 1 if fraud_score >= threshold,676119,0,676119,67.6119,32.3881
6.7,predict 1 if fraud_score >= threshold,675164,0,675164,67.5164,32.4836
6.8,predict 1 if fraud_score >= threshold,674202,0,674202,67.4202,32.5798
6.9,predict 1 if fraud_score >= threshold,673230,0,673230,67.323,32.677
7.0,predict 1 if fraud_score >= threshold,672245,0,672245,67.2245,32.7755
7.1,predict 1 if fraud_score >= threshold,671251,0,671251,67.1251,32.8749
7.2,predict 1 if fraud_score >= threshold,670228,0,670228,67.0228,32.9772
7.3,predict 1 if fraud_score >= threshold,669262,0,669262,66.9262,33.0738
7.4,predict 1 if fraud_score >= threshold,668205,0,668205,66.8205,33.1795
7.5,predict 1 if fraud_score >= threshold,667261,0,667261,66.7261,33.2739
7.6,predict 1 if fraud_score >= threshold,666288,0,666288,66.6288,33.3712
7.7,predict 1 if fraud_score >= threshold,665299,0,665299,66.5299,33.4701
7.8,predict 1 if fraud_score >= threshold,664265,0,664265,66.4265,33.5735
7.9,predict 1 if fraud_score >= threshold,663248,0,663248,66.3248,33.6752
8.0,predict 1 if fraud_score >= threshold,662232,0,662232,66.2232,33.7768
8.1,predict 1 if fraud_score >= threshold,661180,0,661180,66.118,33.882
8.2,predict 1 if fraud_score >= threshold,660072,0,660072,66.0072,33.9928
8.3,predict 1 if fraud_score >= threshold,658992,0,658992,65.8992,34.1008
8.4,predict 1 if fraud_score >= threshold,657906,0,657906,65.7906,34.2094
8.5,predict 1 if fraud_score >= threshold,656852,0,656852,65.6852,34.3148
8.6,predict 1 if fraud_score >= threshold,655724,0,655724,65.5724,34.4276
8.7,predict 1 if fraud_score >= threshold,654577,0,654577,65.4577,34.5423
8.8,predict 1 if fraud_score >= threshold,653459,0,653459,65.3459,34.6541
8.9,predict 1 if fraud_score >= threshold,652343,0,652343,65.2343,34.7657
9.0,predict 1 if fraud_score >= threshold,651203,0,651203,65.1203,34.8797
9.1,predict 1 if fraud_score >= threshold,650142,0,650142,65.0142,34.9858
9.2,predict 1 if fraud_score >= threshold,649105,0,649105,64.9105,35.0895
9.3,predict 1 if fraud_score >= threshold,647997,0,647997,64.7997,35.2003
9.4,predict 1 if fraud_score >= threshold,646891,0,646891,64.6891,35.3109
9.5,predict 1 if fraud_score >= threshold,645798,0,645798,64.5798,35.4202
9.6,predict 1 if fraud_score >= threshold,644693,0,644693,64.4693,35.5307
9.7,predict 1 if fraud_score >= threshold,643543,0,643543,64.3543,35.6457
9.8,predict 1 if fraud_score >= threshold,642346,0,642346,64.2346,35.7654
9.9,predict 1 if fraud_score >= threshold,641138,0,641138,64.1138,35.8862
10.0,predict 1 if fraud_score >= threshold,640056,0,640056,64.0056,35.9944
10.1,predict 1 if fraud_score >= threshold,638889,0,638889,63.8889,36.1111
10.2,predict 1 if fraud_score >= threshold,637739,0,637739,63.7739,36.2261
10.3,predict 1 if fraud_score >= threshold,636516,0,636516,63.6516,36.3484
10.4,predict 1 if fraud_score >= threshold,635383,0,635383,63.5383,36.4617
10.5,predict 1 if fraud_score >= threshold,634145,0,634145,63.4145,36.5855
10.6,predict 1 if fraud_score >= threshold,632985,0,632985,63.2985,36.7015
10.7,predict 1 if fraud_score >= threshold,631820,0,631820,63.182,36.818
10.8,predict 1 if fraud_score >= threshold,630637,0,630637,63.0637,36.9363
10.9,predict 1 if fraud_score >= threshold,629439,0,629439,62.9439,37.0561
11.0,predict 1 if fraud_score >= threshold,628285,0,628285,62.8285,37.1715
11.1,predict 1 if fraud_score >= threshold,627047,0,627047,62.7047,37.2953
11.2,predict 1 if fraud_score >= threshold,625797,0,625797,62.5797,37.4203
11.3,predict 1 if fraud_score >= threshold,624585,0,624585,62.4585,37.5415
11.4,predict 1 if fraud_score >= threshold,623366,0,623366,62.3366,37.6634
11.5,predict 1 if fraud_score >= threshold,622114,0,622114,62.2114,37.7886
11.6,predict 1 if fraud_score >= threshold,620865,0,620865,62.0865,37.9135
11.7,predict 1 if fraud_score >= threshold,619625,0,619625,61.9625,38.0375
11.8,predict 1 if fraud_score >= threshold,618371,0,618371,61.8371,38.1629
11.9,predict 1 if fraud_score >= threshold,617091,0,617091,61.7091,38.2909
12.0,predict 1 if fraud_score >= threshold,615798,0,615798,61.5798,38.4202
12.1,predict 1 if fraud_score >= threshold,614489,0,614489,61.4489,38.5511
12.2,predict 1 if fraud_score >= threshold,613254,0,613254,61.3254,38.6746
12.3,predict 1 if fraud_score >= threshold,611941,0,611941,61.1941,38.8059
12.4,predict 1 if fraud_score >= threshold,610641,0,610641,61.0641,38.9359
12.5,predict 1 if fraud_score >= threshold,609333,0,609333,60.9333,39.0667
12.6,predict 1 if fraud_score >= threshold,608064,0,608064,60.8064,39.1936
12.7,predict 1 if fraud_score >= threshold,606763,0,606763,60.6763,39.3237
12.8,predict 1 if fraud_score >= threshold,605507,0,605507,60.5507,39.4493
12.9,predict 1 if fraud_score >= threshold,604214,0,604214,60.4214,39.5786
13.0,predict 1 if fraud_score >= threshold,602895,0,602895,60.2895,39.7105
13.1,predict 1 if fraud_score >= threshold,601556,0,601556,60.1556,39.8444
13.2,predict 1 if fraud_score >= threshold,600233,0,600233,60.0233,39.9767
13.3,predict 1 if fraud_score >= threshold,598900,0,598900,59.89,40.11
13.4,predict 1 if fraud_score >= threshold,597590,0,597590,59.759,40.241
13.5,predict 1 if fraud_score >= threshold,596227,0,596227,59.6227,40.3773
13.6,predict 1 if fraud_score >= threshold,594824,0,594824,59.4824,40.5176
13.7,predict 1 if fraud_score >= threshold,593554,0,593554,59.3554,40.6446
13.8,predict 1 if fraud_score >= threshold,592182,0,592182,59.2182,40.7818
13.9,predict 1 if fraud_score >= threshold,590785,0,590785,59.0785,40.9215
14.0,predict 1 if fraud_score >= threshold,589385,0,589385,58.9385,41.0615
14.1,predict 1 if fraud_score >= threshold,588003,0,588003,58.8003,41.1997
14.2,predict 1 if fraud_score >= threshold,586561,0,586561,58.6561,41.3439
14.3,predict 1 if fraud_score >= threshold,585148,0,585148,58.5148,41.4852
14.4,predict 1 if fraud_score >= threshold,583780,0,583780,58.378,41.622
14.5,predict 1 if fraud_score >= threshold,582397,0,582397,58.2397,41.7603
14.6,predict 1 if fraud_score >= threshold,580957,0,580957,58.0957,41.9043
14.7,predict 1 if fraud_score >= threshold,579539,0,579539,57.9539,42.0461
14.8,predict 1 if fraud_score >= threshold,578123,0,578123,57.8123,42.1877
14.9,predict 1 if fraud_score >= threshold,576709,0,576709,57.6709,42.3291
15.0,predict 1 if fraud_score >= threshold,575228,0,575228,57.5228,42.4772
15.1,predict 1 if fraud_score >= threshold,573786,0,573786,57.3786,42.6214
15.2,predict 1 if fraud_score >= threshold,572290,0,572290,57.229,42.771
15.3,predict 1 if fraud_score >= threshold,570889,0,570889,57.0889,42.9111
15.4,predict 1 if fraud_score >= threshold,569320,0,569320,56.932,43.068
15.5,predict 1 if fraud_score >= threshold,567875,0,567875,56.7875,43.2125
15.6,predict 1 if fraud_score >= threshold,566475,0,566475,56.6475,43.3525
15.7,predict 1 if fraud_score >= threshold,564989,0,564989,56.4989,43.5011
15.8,predict 1 if fraud_score >= threshold,563566,0,563566,56.3566,43.6434
15.9,predict 1 if fraud_score >= threshold,562049,0,562049,56.2049,43.7951
16.0,predict 1 if fraud_score >= threshold,560604,0,560604,56.0604,43.9396
16.1,predict 1 if fraud_score >= threshold,559151,0,559151,55.9151,44.0849
16.2,predict 1 if fraud_score >= threshold,557674,0,557674,55.7674,44.2326
16.3,predict 1 if fraud_score >= threshold,556205,0,556205,55.6205,44.3795
16.4,predict 1 if fraud_score >= threshold,554817,0,554817,55.4817,44.5183
16.5,predict 1 if fraud_score >= threshold,553343,0,553343,55.3343,44.6657
16.6,predict 1 if fraud_score >= threshold,551898,0,551898,55.1898,44.8102
16.7,predict 1 if fraud_score >= threshold,550394,0,550394,55.0394,44.9606
16.8,predict 1 if fraud_score >= threshold,548941,0,548941,54.8941,45.1059
16.9,predict 1 if fraud_score >= threshold,547449,0,547449,54.7449,45.2551
17.0,predict 1 if fraud_score >= threshold,545926,0,545926,54.5926,45.4074
17.1,predict 1 if fraud_score >= threshold,544397,0,544397,54.4397,45.5603
17.2,predict 1 if fraud_score >= threshold,542912,0,542912,54.2912,45.7088
17.3,predict 1 if fraud_score >= threshold,541355,0,541355,54.1355,45.8645
17.4,predict 1 if fraud_score >= threshold,539851,0,539851,53.9851,46.0149
17.5,predict 1 if fraud_score >= threshold,538297,0,538297,53.8297,46.1703
17.6,predict 1 if fraud_score >= threshold,536753,0,536753,53.6753,46.3247
17.7,predict 1 if fraud_score >= threshold,535247,0,535247,53.5247,46.4753
17.8,predict 1 if fraud_score >= threshold,533635,0,533635,53.3635,46.6365
17.9,predict 1 if fraud_score >= threshold,532047,0,532047,53.2047,46.7953
18.0,predict 1 if fraud_score >= threshold,530438,0,530438,53.0438,46.9562
18.1,predict 1 if fraud_score >= threshold,528869,0,528869,52.8869,47.1131
18.2,predict 1 if fraud_score >= threshold,527225,0,527225,52.7225,47.2775
18.3,predict 1 if fraud_score >= threshold,525617,0,525617,52.5617,47.4383
18.4,predict 1 if fraud_score >= threshold,524015,0,524015,52.4015,47.5985
18.5,predict 1 if fraud_score >= threshold,522460,0,522460,52.246,47.754
18.6,predict 1 if fraud_score >= threshold,520784,0,520784,52.0784,47.9216
18.7,predict 1 if fraud_score >= threshold,519182,0,519182,51.9182,48.0818
18.8,predict 1 if fraud_score >= threshold,517651,0,517651,51.7651,48.2349
18.9,predict 1 if fraud_score >= threshold,516093,0,516093,51.6093,48.3907
19.0,predict 1 if fraud_score >= threshold,514506,0,514506,51.4506,48.5494
19.1,predict 1 if fraud_score >= threshold,512809,0,512809,51.2809,48.7191
19.2,predict 1 if fraud_score >= threshold,511135,0,511135,51.1135,48.8865
19.3,predict 1 if fraud_score >= threshold,509448,0,509448,50.9448,49.0552
19.4,predict 1 if fraud_score >= threshold,507757,0,507757,50.7757,49.2243
19.5,predict 1 if fraud_score >= threshold,506167,0,506167,50.6167,49.3833
19.6,predict 1 if fraud_score >= threshold,504533,0,504533,50.4533,49.5467
19.7,predict 1 if fraud_score >= threshold,502810,0,502810,50.281,49.719
19.8,predict 1 if fraud_score >= threshold,501084,0,501084,50.1084,49.8916
19.9,predict 1 if fraud_score >= threshold,499411,0,499411,49.9411,50.0589
20.0,predict 1 if fraud_score >= threshold,497748,0,497748,49.7748,50.2252
20.1,predict 1 if fraud_score >= threshold,496133,0,496133,49.6133,50.3867
20.2,predict 1 if fraud_score >= threshold,494489,0,494489,49.4489,50.5511
20.3,predict 1 if fraud_score >= threshold,492773,0,492773,49.2773,50.7227
20.4,predict 1 if fraud_score >= threshold,491110,0,491110,49.111,50.889
20.5,predict 1 if fraud_score >= threshold,489326,0,489326,48.9326,51.0674
20.6,predict 1 if fraud_score >= threshold,487658,0,487658,48.7658,51.2342
20.7,predict 1 if fraud_score >= threshold,485979,0,485979,48.5979,51.4021
20.8,predict 1 if fraud_score >= threshold,484224,0,484224,48.4224,51.5776
20.9,predict 1 if fraud_score >= threshold,482544,0,482544,48.2544,51.7456
21.0,predict 1 if fraud_score >= threshold,480860,0,480860,48.086,51.914
21.1,predict 1 if fraud_score >= threshold,479166,0,479166,47.9166,52.0834
21.2,predict 1 if fraud_score >= threshold,477421,0,477421,47.7421,52.2579
21.3,predict 1 if fraud_score >= threshold,475737,0,475737,47.5737,52.4263
21.4,predict 1 if fraud_score >= threshold,474046,0,474046,47.4046,52.5954
21.5,predict 1 if fraud_score >= threshold,472311,0,472311,47.2311,52.7689
21.6,predict 1 if fraud_score >= threshold,470534,0,470534,47.0534,52.9466
21.7,predict 1 if fraud_score >= threshold,468804,0,468804,46.8804,53.1196
21.8,predict 1 if fraud_score >= threshold,467047,0,467047,46.7047,53.2953
21.9,predict 1 if fraud_score >= threshold,465304,0,465304,46.5304,53.4696
22.0,predict 1 if fraud_score >= threshold,463597,0,463597,46.3597,53.6403
22.1,predict 1 if fraud_score >= threshold,461884,0,461884,46.1884,53.8116
22.2,predict 1 if fraud_score >= threshold,460159,0,460159,46.0159,53.9841
22.3,predict 1 if fraud_score >= threshold,458459,0,458459,45.8459,54.1541
22.4,predict 1 if fraud_score >= threshold,456754,0,456754,45.6754,54.3246
22.5,predict 1 if fraud_score >= threshold,455093,0,455093,45.5093,54.4907
22.6,predict 1 if fraud_score >= threshold,453377,0,453377,45.3377,54.6623
22.7,predict 1 if fraud_score >= threshold,451608,0,451608,45.1608,54.8392
22.8,predict 1 if fraud_score >= threshold,449848,0,449848,44.9848,55.0152
22.9,predict 1 if fraud_score >= threshold,448107,0,448107,44.8107,55.1893
23.0,predict 1 if fraud_score >= threshold,446315,0,446315,44.6315,55.3685
23.1,predict 1 if fraud_score >= threshold,444539,0,444539,44.4539,55.5461
23.2,predict 1 if fraud_score >= threshold,442781,0,442781,44.2781,55.7219
23.3,predict 1 if fraud_score >= threshold,441056,0,441056,44.1056,55.8944
23.4,predict 1 if fraud_score >= threshold,439322,0,439322,43.9322,56.0678
23.5,predict 1 if fraud_score >= threshold,437585,0,437585,43.7585,56.2415
23.6,predict 1 if fraud_score >= threshold,435837,0,435837,43.5837,56.4163
23.7,predict 1 if fraud_score >= threshold,434139,0,434139,43.4139,56.5861
23.8,predict 1 if fraud_score >= threshold,432377,0,432377,43.2377,56.7623
23.9,predict 1 if fraud_score >= threshold,430606,0,430606,43.0606,56.9394
24.0,predict 1 if fraud_score >= threshold,428859,0,428859,42.8859,57.1141
24.1,predict 1 if fraud_score >= threshold,427067,0,427067,42.7067,57.2933
24.2,predict 1 if fraud_score >= threshold,425313,0,425313,42.5313,57.4687
24.3,predict 1 if fraud_score >= threshold,423564,0,423564,42.3564,57.6436
24.4,predict 1 if fraud_score >= threshold,421778,0,421778,42.1778,57.8222
24.5,predict 1 if fraud_score >= threshold,419998,0,419998,41.9998,58.0002
24.6,predict 1 if fraud_score >= threshold,418215,0,418215,41.8215,58.1785
24.7,predict 1 if fraud_score >= threshold,416391,0,416391,41.6391,58.3609
24.8,predict 1 if fraud_score >= threshold,414623,0,414623,41.4623,58.5377
24.9,predict 1 if fraud_score >= threshold,412945,0,412945,41.2945,58.7055
25.0,predict 1 if fraud_score >= threshold,411135,0,411135,41.1135,58.8865
25.1,predict 1 if fraud_score >= threshold,409289,0,409289,40.9289,59.0711
25.2,predict 1 if fraud_score >= threshold,407473,0,407473,40.7473,59.2527
25.3,predict 1 if fraud_score >= threshold,405650,0,405650,40.565,59.435
25.4,predict 1 if fraud_score >= threshold,403700,0,403700,40.37,59.63
25.5,predict 1 if fraud_score >= threshold,401880,0,401880,40.188,59.812
25.6,predict 1 if fraud_score >= threshold,400077,0,400077,40.0077,59.9923
25.7,predict 1 if fraud_score >= threshold,398316,0,398316,39.8316,60.1684
25.8,predict 1 if fraud_score >= threshold,396511,0,396511,39.6511,60.3489
25.9,predict 1 if fraud_score >= threshold,394737,0,394737,39.4737,60.5263
26.0,predict 1 if fraud_score >= threshold,392955,0,392955,39.2955,60.7045
26.1,predict 1 if fraud_score >= threshold,391159,0,391159,39.1159,60.8841
26.2,predict 1 if fraud_score >= threshold,389286,0,389286,38.9286,61.0714
26.3,predict 1 if fraud_score >= threshold,387541,0,387541,38.7541,61.2459
26.4,predict 1 if fraud_score >= threshold,385755,0,385755,38.5755,61.4245
26.5,predict 1 if fraud_score >= threshold,383989,0,383989,38.3989,61.6011
26.6,predict 1 if fraud_score >= threshold,382137,0,382137,38.2137,61.7863
26.7,predict 1 if fraud_score >= threshold,380352,0,380352,38.0352,61.9648
26.8,predict 1 if fraud_score >= threshold,378592,0,378592,37.8592,62.1408
26.9,predict 1 if fraud_score >= threshold,376812,0,376812,37.6812,62.3188
27.0,predict 1 if fraud_score >= threshold,375024,0,375024,37.5024,62.4976
27.1,predict 1 if fraud_score >= threshold,373172,0,373172,37.3172,62.6828
27.2,predict 1 if fraud_score >= threshold,371350,0,371350,37.135,62.865
27.3,predict 1 if fraud_score >= threshold,369546,0,369546,36.9546,63.0454
27.4,predict 1 if fraud_score >= threshold,367657,0,367657,36.7657,63.2343
27.5,predict 1 if fraud_score >= threshold,365780,0,365780,36.578,63.422
27.6,predict 1 if fraud_score >= threshold,363868,0,363868,36.3868,63.6132
27.7,predict 1 if fraud_score >= threshold,362065,0,362065,36.2065,63.7935
27.8,predict 1 if fraud_score >= threshold,360173,0,360173,36.0173,63.9827
27.9,predict 1 if fraud_score >= threshold,358389,0,358389,35.8389,64.1611
28.0,predict 1 if fraud_score >= threshold,356604,0,356604,35.6604,64.3396
28.1,predict 1 if fraud_score >= threshold,354777,0,354777,35.4777,64.5223
28.2,predict 1 if fraud_score >= threshold,353007,0,353007,35.3007,64.6993
28.3,predict 1 if fraud_score >= threshold,351142,0,351142,35.1142,64.8858
28.4,predict 1 if fraud_score >= threshold,349272,0,349272,34.9272,65.0728
28.5,predict 1 if fraud_score >= threshold,347491,0,347491,34.7491,65.2509
28.6,predict 1 if fraud_score >= threshold,345637,0,345637,34.5637,65.4363
28.7,predict 1 if fraud_score >= threshold,343756,0,343756,34.3756,65.6244
28.8,predict 1 if fraud_score >= threshold,341891,0,341891,34.1891,65.8109
28.9,predict 1 if fraud_score >= threshold,340087,0,340087,34.0087,65.9913
29.0,predict 1 if fraud_score >= threshold,338218,0,338218,33.8218,66.1782
29.1,predict 1 if fraud_score >= threshold,336328,0,336328,33.6328,66.3672
29.2,predict 1 if fraud_score >= threshold,334510,0,334510,33.451,66.549
29.3,predict 1 if fraud_score >= threshold,332729,0,332729,33.2729,66.7271
29.4,predict 1 if fraud_score >= threshold,330922,0,330922,33.0922,66.9078
29.5,predict 1 if fraud_score >= threshold,329067,0,329067,32.9067,67.0933
29.6,predict 1 if fraud_score >= threshold,327242,0,327242,32.7242,67.2758
29.7,predict 1 if fraud_score >= threshold,325450,0,325450,32.545,67.455
29.8,predict 1 if fraud_score >= threshold,323661,0,323661,32.3661,67.6339
29.9,predict 1 if fraud_score >= threshold,321953,0,321953,32.1953,67.8047
30.0,predict 1 if fraud_score >= threshold,320113,0,320113,32.0113,67.9887
30.1,predict 1 if fraud_score >= threshold,318275,0,318275,31.8275,68.1725
30.2,predict 1 if fraud_score >= threshold,316433,0,316433,31.6433,68.3567
30.3,predict 1 if fraud_score >= threshold,314702,0,314702,31.4702,68.5298
30.4,predict 1 if fraud_score >= threshold,312869,0,312869,31.2869,68.7131
30.5,predict 1 if fraud_score >= threshold,311123,0,311123,31.1123,68.8877
30.6,predict 1 if fraud_score >= threshold,309309,0,309309,30.9309,69.0691
30.7,predict 1 if fraud_score >= threshold,307460,0,307460,30.746,69.254
30.8,predict 1 if fraud_score >= threshold,305614,0,305614,30.5614,69.4386
30.9,predict 1 if fraud_score >= threshold,303817,0,303817,30.3817,69.6183
31.0,predict 1 if fraud_score >= threshold,301998,0,301998,30.1998,69.8002
31.1,predict 1 if fraud_score >= threshold,300173,0,300173,30.0173,69.9827
31.2,predict 1 if fraud_score >= threshold,298282,0,298282,29.8282,70.1718
31.3,predict 1 if fraud_score >= threshold,296392,0,296392,29.6392,70.3608
31.4,predict 1 if fraud_score >= threshold,294540,0,294540,29.454,70.546
31.5,predict 1 if fraud_score >= threshold,292694,0,292694,29.2694,70.7306
31.6,predict 1 if fraud_score >= threshold,290915,0,290915,29.0915,70.9085
31.7,predict 1 if fraud_score >= threshold,289085,0,289085,28.9085,71.0915
31.8,predict 1 if fraud_score >= threshold,287310,0,287310,28.731,71.269
31.9,predict 1 if fraud_score >= threshold,285454,0,285454,28.5454,71.4546
32.0,predict 1 if fraud_score >= threshold,283565,0,283565,28.3565,71.6435
32.1,predict 1 if fraud_score >= threshold,281712,0,281712,28.1712,71.8288
32.2,predict 1 if fraud_score >= threshold,279929,0,279929,27.9929,72.0071
32.3,predict 1 if fraud_score >= threshold,278091,0,278091,27.8091,72.1909
32.4,predict 1 if fraud_score >= threshold,276244,0,276244,27.6244,72.3756
32.5,predict 1 if fraud_score >= threshold,274461,0,274461,27.4461,72.5539
32.6,predict 1 if fraud_score >= threshold,272701,0,272701,27.2701,72.7299
32.7,predict 1 if fraud_score >= threshold,270873,0,270873,27.0873,72.9127
32.8,predict 1 if fraud_score >= threshold,269079,0,269079,26.9079,73.0921
32.9,predict 1 if fraud_score >= threshold,267334,0,267334,26.7334,73.2666
33.0,predict 1 if fraud_score >= threshold,265625,0,265625,26.5625,73.4375
33.1,predict 1 if fraud_score >= threshold,263698,0,263698,26.3698,73.6302
33.2,predict 1 if fraud_score >= threshold,261965,0,261965,26.1965,73.8035
33.3,predict 1 if fraud_score >= threshold,260198,0,260198,26.0198,73.9802
33.4,predict 1 if fraud_score >= threshold,258338,0,258338,25.8338,74.1662
33.5,predict 1 if fraud_score >= threshold,256568,0,256568,25.6568,74.3432
33.6,predict 1 if fraud_score >= threshold,254757,0,254757,25.4757,74.5243
33.7,predict 1 if fraud_score >= threshold,252981,0,252981,25.2981,74.7019
33.8,predict 1 if fraud_score >= threshold,251195,0,251195,25.1195,74.8805
33.9,predict 1 if fraud_score >= threshold,249392,0,249392,24.9392,75.0608
34.0,predict 1 if fraud_score >= threshold,247554,0,247554,24.7554,75.2446
34.1,predict 1 if fraud_score >= threshold,245846,0,245846,24.5846,75.4154
34.2,predict 1 if fraud_score >= threshold,244034,0,244034,24.4034,75.5966
34.3,predict 1 if fraud_score >= threshold,242277,0,242277,24.2277,75.7723
34.4,predict 1 if fraud_score >= threshold,240493,0,240493,24.0493,75.9507
34.5,predict 1 if fraud_score >= threshold,238711,0,238711,23.8711,76.1289
34.6,predict 1 if fraud_score >= threshold,236932,0,236932,23.6932,76.3068
34.7,predict 1 if fraud_score >= threshold,235107,0,235107,23.5107,76.4893
34.8,predict 1 if fraud_score >= threshold,233322,0,233322,23.3322,76.6678
34.9,predict 1 if fraud_score >= threshold,231477,0,231477,23.1477,76.8523
35.0,predict 1 if fraud_score >= threshold,229719,0,229719,22.9719,77.0281
35.1,predict 1 if fraud_score >= threshold,227960,0,227960,22.796,77.204
35.2,predict 1 if fraud_score >= threshold,226145,0,226145,22.6145,77.3855
35.3,predict 1 if fraud_score >= threshold,224359,0,224359,22.4359,77.5641
35.4,predict 1 if fraud_score >= threshold,222724,0,222724,22.2724,77.7276
35.5,predict 1 if fraud_score >= threshold,221020,0,221020,22.102,77.898
35.6,predict 1 if fraud_score >= threshold,219251,0,219251,21.9251,78.0749
35.7,predict 1 if fraud_score >= threshold,217490,0,217490,21.749,78.251
35.8,predict 1 if fraud_score >= threshold,215751,0,215751,21.5751,78.4249
